pid,utime,stime,priority,mem_usage,process_type
12518,1.807773824,0.8455904,0,43778048,True
12520,0.078468792,0.059736584,0,704512,True
12521,0.045178416,0.018232376,0,5783552,True
12522,0.040314664,0.012685791,0,3948544,True
12523,0.202884544,0.070063664,0,4849664,True
12525,0.036889332,0.009425916,0,3817472,True
12526,0.048318456,0.017361708,0,5832704,True
12530,0.038984208,0.012061583,0,4014080,True
12531,0.039408792,0.011064916,0,3784704,True
12532,0.036671208,0.010585125,0,3801088,True
12533,0.060135916,0.027523376,0,6012928,True
12534,0.0469645,0.017779958,0,3899392,True
12535,0.0502935,0.01990054,0,6094848,True
12536,0.0,0.0,0,0,False
12556,0.0,0.0,0,0,False
12560,0.0,0.0,0,0,False
12574,0.0,0.0,0,0,False
12580,0.0,0.0,0,0,False
12581,0.0,0.0,0,0,False
12583,0.109108288,0.077612376,0,12681216,True
12680,0.0,0.0,0,0,False
12688,0.099472704,0.095260752,0,7258112,True
12689,0.445282368,0.143318368,0,7471104,True
12690,0.348485696,0.263153456,0,11337728,True
12691,0.0,0.0,0,0,False
12705,0.0,0.0,0,0,False
12706,0.0,0.0,0,0,False
12707,0.0,0.0,0,0,False
12712,0.0,0.0,0,0,False
12713,0.0,0.0,0,0,False
12719,0.0,0.0,0,0,False
12720,0.0,0.0,0,0,False
12721,0.0,0.0,0,0,False
12903,0.0,0.0,0,0,False
16387,5.119345152,2.4343488,0,36388864,True
16389,0.0,0.0,0,0,False
16390,0.103724496,0.068429504,0,7454720,True
16449,0.030074832,0.012788416,0,5013504,True
29756,4.691221504,0.836870528,0,8486912,True
29797,1.124240128,0.453223328,0,22216704,True
30418,0.0,0.0,0,0,False
30493,0.0,0.0,0,0,False
30494,0.0,0.0,0,0,False
30520,0.0,0.0,0,0,False
30571,0.0,0.0,0,0,False
30676,0.087561456,0.05076596,0,7454720,True
30799,0.61970368,0.284796384,0,7323648,True
30948,5.130150912,1.524639872,0,10649600,True
31010,430.16175616,161.037959168,0,67059712,True
31091,1.322567552,0.12067004,0,3866624,True
31092,0.225233376,0.0356255,0,3817472,True
31104,5.113289216,6.023236608,0,6307840,False
31224,0.048356208,0.0235045,0,3670016,True
31225,0.04641804,0.013715541,0,2523136,True
31234,0.0,0.0,0,0,False
31238,2.23766656,3.12086272,0,4145152,False
31676,0.713255808,0.245219952,0,23101440,True
31896,20.89454592,8.399999488,0,124452864,True
31903,0.036791832,0.012796916,0,8388608,True
31905,0.0156775,0.005706166,0,3473408,True
31926,553.937076224,205.24449792,0,316407808,True
31930,0.012063625,0.02708375,0,3538944,False
31932,0.002350541,0.001315041,0,1982464,True
31936,417.26885888,230.658588672,0,317128704,True
31937,48.985903104,26.634489856,0,102465536,True
31938,1.629031808,0.64454752,0,55934976,True
31941,9.335616512,0.422223264,0,58490880,True
31952,3.573037056,0.127200336,0,52084736,True
32007,0.079573336,0.03343725,0,8552448,True
34199,0.036741416,0.03211825,0,20545536,True
