pid,utime,stime,priority,mem_usage
738,0.0,0.0,0,0
766,48.456183808,26.755616768,0,18202624
769,0.0,0.0,0,0
775,57.418203136,18.35557888,0,14024704
788,0.0,0.0,0,0
796,0.0,0.0,0,0
805,0.031173458,0.013903958,0,0
806,450.467692544,201.21608192,0,8224768
817,32.791414784,2.390185472,0,2506752
818,192.090816512,141.087834112,0,9043968
820,0.078395208,0.155460544,0,1572864
834,0.0,0.0,0,0
837,0.0,0.0,0,0
838,0.0,0.0,0,0
848,16.407571456,12.917413888,17,15663104
851,0.0,0.0,0,0
859,0.0,0.0,0,0
869,0.0,0.0,0,0
870,0.0,0.0,0,0
890,0.0,0.0,0,0
921,3.45965184,2.995649024,0,5865472
937,0.0,0.0,0,0
949,31.385520128,8.56438016,0,6062080
952,0.112716416,0.032814416,0,0
953,0.103682336,0.04866454,0,0
954,0.070886792,0.036143916,0,0
1002,0.029088208,0.077898912,0,1032192
1014,23.147384832,9.027772416,0,5652480
1032,3.529682944,2.495171072,0,6324224
1071,5.025050112,4.78078464,0,7061504
1092,0.0,0.0,0,0
1109,7793.986240512,2812.512043008,0,367968256
1111,0.11163796,0.264793504,0,983040
1112,11768.573198336,5795.469590528,0,130990080
1113,1163.98227456,1380.025892864,0,68222976
1114,82.129772544,36.020432896,0,19660800
1116,50.252423168,20.351762432,0,13778944
1130,14.91326976,3.634453248,0,7929856
1131,3.49556096,2.390436608,0,10960896
1132,47.198142464,18.741786624,0,14450688
1133,2451.274203136,818.478972928,0,18071552
1134,56.606523392,20.95770624,0,35979264
1135,3335.472021504,1656.495013888,0,31227904
1137,382.212866048,80.964984832,0,78741504
1204,3.708854272,2.816286464,0,5439488
1213,0.0,0.0,0,0
1214,0.0,0.0,0,0
3488,0.028388876,0.088422168,0,1409024
3640,0.0,0.0,0,0
3644,8.452973568,3.779043328,0,10551296
5155,20.532436992,13.0008064,0,7553024
5556,144.170745856,66.637221888,0,29229056
5557,8.38250496,3.65636096,0,3063808
6486,0.234328832,0.308362048,0,4112384
6543,0.0,0.0,0,0
7258,124.574785536,38.9927936,0,16072704
10362,44.069031936,12.032600064,0,11141120
12956,21.998753792,6.30523648,0,16465920
12957,52.998008832,11.528402944,0,18579456
12958,9.278263296,4.001856256,0,3735552
13155,63.349559296,19.466258432,0,74301440
16426,0.024763416,0.043226,0,458752
16994,0.082132544,0.080599,0,0
17050,0.0,0.0,0,0
34074,28.622690304,9.298166784,0,57065472
34749,88.65296384,20.934815744,0,109248512
34751,1155.204907008,946.763333632,0,25886720
34752,26.175320064,8.836037632,0,37273600
34756,139.5011584,27.740250112,0,77971456
34809,87.778582528,11.842510848,0,8781824
34816,2593.034338304,333.320224768,0,556253184
34983,26.671525888,8.660389888,0,23527424
34987,19.274256384,7.52219648,0,40861696
35008,19.779454976,7.2017536,0,23232512
35025,18.96832,7.022599168,0,21331968
35044,17.77585152,7.017112576,0,18825216
35045,27.80212224,11.562704896,0,8994816
35131,188.25723904,64.901480448,0,29409280
35132,7.291070976,2.412128512,0,12238848
35141,17141.799583744,1687.036362752,0,88735744
